team,match_id,date,h_a,opponent_team,total_xG,avg_shot_xG,shot_count,goals,opponent_xG,opponent_shots,opponent_goals,rolling_xG,rolling_shots,rolling_avg_shot_xG,rolling_conversion,rolling_shots_conceded,rolling_goals_conceded,rolling_opponent_conversion_rate
Arsenal,26905,4/5/2025 11:30,a,Everton,1.438056356,0.102718311,14,1,1.228745762,5,1,1.454003104,12.8,0.11450487,0.078125,36,2,0.055555556
Aston Villa,26893,4/2/2025 19:45,a,Brighton,1.207145178,0.150893147,8,3,0.562074902,11,0,1.024524536,8.8,0.119083046,0.159090909,68,8,0.117647059
Bournemouth,26879,3/9/2025 14:00,a,Tottenham,2.248051786,0.13223834,17,2,1.35052801,12,2,1.990517232,15.2,0.136118649,0.157894737,73,8,0.109589041
Brentford,26899,4/2/2025 19:45,a,Newcastle United,1.536313712,0.128026143,12,1,2.266559972,21,2,1.498041479,12.8,0.112771146,0.15625,75,3,0.04
Brighton,26904,4/5/2025 14:00,a,Crystal Palace,1.275515991,0.115955999,11,1,0.443964942,8,2,2.286980473,12.2,0.194372779,0.147540984,50,11,0.22
Burnley,22262,5/11/2024 14:00,a,Tottenham,0.951,0.135857143,7,1,3.002,21,2,1.6014,12.6,0.119356151,0.126984127,111,7,0.063063063
Chelsea,26903,4/6/2025 13:00,a,Brentford,1.482681612,0.070603886,21,0,1.361233677,9,0,1.219772451,12.4,0.096647458,0.032258065,61,9,0.147540984
Crystal Palace,26900,4/2/2025 19:45,a,Southampton,0.937760358,0.104195595,9,1,0.687303705,8,1,1.761251941,10.2,0.173317708,0.156862745,64,1,0.015625
Everton,26901,4/2/2025 20:00,a,Liverpool,0.823135682,0.164627136,5,0,1.297175277,17,1,1.106479633,9,0.153053925,0.111111111,73,4,0.054794521
Fulham,26892,4/1/2025 19:45,a,Arsenal,1.442064103,0.160229345,9,1,2.449328625,17,2,1.569050009,11.6,0.134383406,0.137931034,63,6,0.095238095
Ipswich,26896,4/2/2025 19:45,a,Bournemouth,1.412627183,0.141262718,10,2,2.048369946,24,1,1.116807912,9,0.141137652,0.133333333,94,9,0.095744681
Leicester,26898,4/2/2025 19:45,a,Manchester City,0.104740969,0.052370484,2,0,2.072881657,18,2,0.471967434,7.4,0.056432273,0.054054054,73,9,0.123287671
Liverpool,26906,4/6/2025 13:00,a,Fulham,1.407286338,0.100520453,14,2,1.751526029,12,3,1.427203924,12.8,0.104923139,0.15625,61,7,0.114754098
Luton,22263,5/11/2024 14:00,a,West Ham,0.641,0.16025,4,1,3.736,24,3,0.6098,6.4,0.104313889,0.125,104,11,0.105769231
Manchester City,26878,3/8/2025 12:30,a,Nottingham Forest,0.72123391,0.051516708,14,0,0.501476091,9,1,1.946054386,14.2,0.134497988,0.14084507,58,8,0.137931034
Manchester United,26894,4/1/2025 20:00,a,Nottingham Forest,1.886975204,0.0820424,23,0,0.515032648,8,1,1.061778719,14,0.07147319,0.085714286,59,4,0.06779661
Newcastle United,26908,4/7/2025 19:00,a,Leicester,3.606873945,0.225429622,16,3,0.354574574,7,0,1.787669863,9.6,0.158699808,0.145833333,51,7,0.137254902
Nottingham Forest,26902,4/5/2025 16:30,a,Aston Villa,0.967690037,0.050931055,19,1,2.633489044,17,2,1.209171415,14.6,0.082054166,0.123287671,81,15,0.185185185
Sheffield United,22257,5/11/2024 14:00,a,Everton,0.466,0.035846154,13,0,1.823,15,1,1.0202,10.6,0.102102564,0.056603774,99,13,0.131313131
Southampton,26876,3/8/2025 15:00,a,Liverpool,0.511565595,0.085260933,6,1,5.109887306,28,3,1.057453431,9,0.115820721,0.111111111,100,14,0.14
Tottenham,26897,4/3/2025 19:00,a,Chelsea,1.403874277,0.175484285,8,0,1.304425556,11,1,1.351004012,11,0.128508169,0.127272727,74,6,0.081081081
West Ham,26895,4/1/2025 19:45,a,Wolverhampton Wanderers,1.741020099,0.17410201,10,0,1.103585132,9,1,1.230454158,10.6,0.127207807,0.075471698,78,4,0.051282051
Wolverhampton Wanderers,26907,4/5/2025 14:00,a,Ipswich,2.810680309,0.127758196,22,2,0.872355596,6,1,1.51792324,13,0.116637311,0.107692308,53,7,0.132075472
