match_id,team,total_xG,shot_count,avg_shot_xG,goals,rolling_xG,rolling_shots,rolling_conversion,h_a
21934,Arsenal,1.911,17,0.11241176470588235,3,1.911,17.0,0.17647058823529413,h
21941,Arsenal,0.8280000000000001,13,0.0636923076923077,1,1.3695,15.0,0.13333333333333333,a
21952,Arsenal,2.342,13,0.18015384615384616,1,1.6936666666666669,14.333333333333334,0.11627906976744186,h
21959,Arsenal,4.136,15,0.27573333333333333,4,2.30425,14.5,0.15517241379310345,a
21965,Arsenal,0.39,12,0.0325,1,1.9214000000000002,14.0,0.14285714285714285,h
21978,Arsenal,1.059,13,0.08146153846153846,2,1.7510000000000001,13.2,0.13636363636363635,a
21986,Arsenal,3.033,13,0.2333076923076923,5,2.192,13.2,0.19696969696969696,h
22001,Arsenal,0.536,14,0.03828571428571429,0,1.8308,13.4,0.1791044776119403,a
22006,Arsenal,2.63,16,0.164375,3,1.5295999999999998,13.6,0.16176470588235295,h
22015,Arsenal,1.826,15,0.12173333333333333,1,1.8168,14.2,0.15492957746478872,a
22026,Arsenal,3.333,19,0.17542105263157895,2,2.2716,15.4,0.14285714285714285,h
22039,Arsenal,2.594,23,0.11278260869565217,4,2.1838,17.4,0.11494252873563218,a
22045,Arsenal,1.717,12,0.14308333333333334,0,2.42,17.0,0.11764705882352941,a
22056,Arsenal,2.77,26,0.10653846153846154,2,2.4479999999999995,19.0,0.09473684210526316,h
22068,Arsenal,0.851,13,0.06546153846153846,1,2.253,18.6,0.0967741935483871,a
22076,Arsenal,2.922,30,0.0974,0,2.1708000000000003,20.8,0.0673076923076923,h
22087,Arsenal,1.729,13,0.133,1,1.9978000000000002,18.8,0.0425531914893617,a
22103,Arsenal,3.5220000000000002,21,0.16771428571428573,4,2.3588,20.6,0.07766990291262135,h
22108,Arsenal,1.39,19,0.0731578947368421,2,2.0828,19.2,0.08333333333333333,a
22116,Arsenal,2.986,16,0.186625,3,2.5098,19.8,0.10101010101010101,h
22133,Arsenal,3.999,25,0.15996,6,2.7252,18.8,0.1702127659574468,a
22136,Arsenal,2.216,16,0.1385,5,2.8226000000000004,19.4,0.20618556701030927,a
22146,Arsenal,2.5949999999999998,18,0.14416666666666667,3,2.6372,18.8,0.20212765957446807,h
22163,Arsenal,2.488,22,0.11309090909090909,5,2.8568,19.4,0.2268041237113402,a
22166,Arsenal,1.592,17,0.09364705882352942,2,2.578,19.6,0.21428571428571427,h
22175,Arsenal,3.461,27,0.12818518518518518,5,2.4704,20.0,0.2,h
22190,Arsenal,0.512,6,0.08533333333333333,0,2.1296,18.0,0.16666666666666666,a
22196,Arsenal,1.194,13,0.09184615384615384,1,1.8494,17.0,0.15294117647058825,h
22206,Arsenal,4.1659999999999995,20,0.20829999999999999,3,2.185,16.6,0.13253012048192772,a
22216,Arsenal,1.988,18,0.11044444444444444,0,2.2641999999999998,16.8,0.10714285714285714,h
22234,Arsenal,1.661,24,0.06920833333333333,2,1.9042000000000001,16.2,0.07407407407407407,a
22241,Arsenal,1.516,9,0.16844444444444445,2,2.1049999999999995,16.8,0.09523809523809523,a
22245,Arsenal,3.925,24,0.16354166666666667,3,2.6512000000000002,19.0,0.10526315789473684,h
22259,Arsenal,1.732,11,0.15745454545454546,1,2.1643999999999997,17.2,0.09302325581395349,a
22265,Arsenal,3.551,26,0.1365769230769231,2,2.4770000000000003,18.8,0.10638297872340426,h
22276,Arsenal,0.843,15,0.0562,2,2.3134,17.0,0.11764705882352941,h
22294,Arsenal,2.211,14,0.15792857142857142,1,2.4524,18.0,0.1,a
22297,Arsenal,3.24,19,0.1705263157894737,2,2.3154,17.0,0.09411764705882353,h
26604,Arsenal,1.628303042,18,0.09046128011111111,2,2.2946606084,18.4,0.09782608695652174,h
26618,Arsenal,1.41398662,9,0.15710962444444443,2,1.8672579324,15.0,0.12,a
26622,Arsenal,2.417976129,11,0.21981601172727272,1,2.1822531582,14.2,0.11267605633802817,h
26640,Arsenal,1.1208970219999999,7,0.16012814599999997,1,1.9642325626,12.8,0.125,a
26651,Arsenal,1.284106959,5,0.2568213918,2,1.5730539544,10.0,0.16,a
26655,Arsenal,6.178353242,36,0.1716209233888889,3,2.4830639943999997,13.6,0.1323529411764706,h
26666,Arsenal,3.36583181,29,0.11606316586206897,3,2.8734330324000004,17.6,0.11363636363636363,h
26680,Arsenal,0.8295468020000001,6,0.13825780033333335,0,2.555747167,16.6,0.10843373493975904,a
26691,Arsenal,1.088299175,9,0.12092213055555555,2,2.5492275976,17.0,0.11764705882352941,h
26694,Arsenal,0.9192553889999999,10,0.09192553889999999,0,2.4762572836,18.0,0.08888888888888889,a
26705,Arsenal,1.968971923,13,0.1514593786923077,1,1.6343810198,13.4,0.08955223880597014,a
26714,Arsenal,1.67688356,19,0.08825702947368422,3,1.2965913698000002,11.4,0.10526315789473684,h
26730,Arsenal,3.999352075,16,0.2499595046875,5,1.9305524244,13.4,0.16417910447761194,a
26733,Arsenal,2.993674307,14,0.21383387907142856,2,2.3116274508000005,14.4,0.1527777777777778,h
26749,Arsenal,2.7276004179999997,12,0.2273000348333333,1,2.6732964566,14.8,0.16216216216216217,a
26755,Arsenal,1.308645377,13,0.10066502899999999,0,2.5412311474,14.8,0.14864864864864866,h
26765,Arsenal,3.537657283,14,0.25268980592857143,5,2.913385892,13.8,0.18840579710144928,a
26773,Arsenal,2.164615028,13,0.1665088483076923,1,2.5464384826,13.2,0.13636363636363635,h
26783,Arsenal,2.105342858,14,0.15038163271428573,3,2.3687721928000003,13.2,0.15151515151515152,a
26794,Arsenal,1.811423843,9,0.20126931588888888,1,2.1855368777999997,12.6,0.15873015873015872,a
26802,Arsenal,2.273209839,14,0.16237213135714287,1,2.3784497702,12.8,0.171875,h
26812,Arsenal,1.64458421,17,0.09674024764705882,2,1.9998351556000002,13.4,0.11940298507462686,h
26831,Arsenal,0.8941059290000001,9,0.09934510322222223,1,1.7457333358,12.6,0.12698412698412698,a
26833,Arsenal,1.532020978,12,0.12766841483333333,5,1.6310689597999999,12.2,0.16393442622950818,h
26846,Arsenal,1.750004259,11,0.15909129627272728,2,1.6187850430000001,12.6,0.1746031746031746,a
26853,Arsenal,1.375022321,20,0.06875111605,0,1.4391475394,13.8,0.14492753623188406,h
26864,Arsenal,1.317663302,13,0.10135871553846153,0,1.3737633578000001,13.0,0.12307692307692308,a
26877,Arsenal,1.870185673,17,0.11001092194117647,1,1.5689793066,14.6,0.1095890410958904,a
26883,Arsenal,0.695724536,12,0.057977044666666665,1,1.4017200182,14.6,0.0547945205479452,h
26892,Arsenal,2.449328625,17,0.14407815441176472,2,1.5415848913999999,15.8,0.05063291139240506,h
26905,Arsenal,1.438056356,14,0.10271831114285714,1,1.5541916984,14.6,0.0684931506849315,a
21933,Aston Villa,0.615,10,0.0615,0,0.615,10.0,0.0,a
21938,Aston Villa,2.317,16,0.1448125,3,1.4660000000000002,13.0,0.11538461538461539,h
21947,Aston Villa,1.143,15,0.0762,1,1.3583333333333334,13.666666666666666,0.0975609756097561,a
21955,Aston Villa,1.924,19,0.10126315789473683,5,1.4997500000000001,15.0,0.15,h
21974,Aston Villa,1.815,18,0.10083333333333333,1,1.5628,15.6,0.1282051282051282,a
21976,Aston Villa,2.341,15,0.1560666666666667,4,1.908,16.6,0.1686746987951807,h
21987,Aston Villa,3.419,18,0.18994444444444444,2,2.1284,17.0,0.15294117647058825,h
22002,Aston Villa,1.333,13,0.10253846153846154,0,2.1664,16.6,0.14457831325301204,a
